100 100 100 100
39225 86957
17953 71517
17275 18977
62448 47307
89671 86272
48189 91881
38958 23114
98451 94511
76037 77334
62768 17235
61697 3131
94829 92350
46772 85928
84848 98877
26989 64133
93568 65520
27217 41669
47017 76428
7372 58781
31904 38408
75683 56081
61486 24019
50575 3731
14099 89607
84118 63432
27765 3117
53527 71948
39741 56481
2892 80236
93366 15960
25558 93611
44636 11474
63108 93541
58696 63035
48825 42491
37087 28677
74098 73331
76315 8804
44425 69668
27304 36232
59022 15099
33838 89911
20387 48261
55795 89019
39745 20101
78607 73619
41077 3453
50166 79935
94455 89641
85422 12667
61718 83022
72735 49577
49103 49794
35791 60991
40123 98669
18988 86200
882 87156
36685 48339
12373 7551
15172 34887
10864 23785
58632 24052
87066 89457
28089 16608
28621 80898
81994 72124
31320 91904
88897 68189
46391 50042
59477 60747
2793 80189
76599 56169
64222 93360
63531 67740
73120 40183
67208 30398
82142 89769
70861 53049
96072 53456
80479 33959
34877 36027
39900 34549
96992 61373
44664 70173
4827 69960
9635 29210
66053 85364
75607 2270
18425 39261
12645 60585
22230 18513
24243 26597
19859 32917
73020 57484
89808 67925
28860 45
32066 32361
69737 98750
3927 44057
45588 11677
2 22
62 73
77 92
23 69
73 81
29 68
84 98
17 22
34 98
79 90
19 31
39 73
8 67
25 57
21 96
6 95
39 51
2 20
12 51
40 74
30 75
56 79
40 56
29 69
41 80
37 82
26 38
30 37
63 81
59 86
29 79
43 93
9 63
8 74
2 52
32 41
50 66
5 21
52 71
33 45
24 60
10 96
21 76
53 86
62 84
49 65
63 96
28 92
14 89
71 72
3 25
6 25
6 83
12 60
34 49
31 85
7 99
70 76
27 76
50 57
26 91
34 86
33 83
34 100
18 85
2 85
19 42
31 91
75 100
57 91
41 53
12 82
75 94
39 77
77 98
40 51
60 92
11 24
17 55
54 56
32 42
9 24
31 94
15 63
14 35
47 52
11 23
23 80
2 76
36 96
85 99
30 68
15 96
3 41
63 83
3 60
9 66
17 94
3 56
73 96
26286 9452
16856 89277
22640 52459
51281 64472
25621 77777
12132 62722
10442 64050
94310 79001
35688 49982
57224 41772
95193 42229
48935 72108
5229 83944
73924 55510
79605 54189
80874 33563
96911 61581
87143 91505
1852 8933
4252 45968
95601 49972
83414 65219
26314 5738
5658 58741
59206 13317
22899 64843
20849 11392
57014 71503
94738 82544
24937 68589
36312 94019
55765 7797
78900 29736
69155 61961
73748 4685
30632 27844
96885 84402
63681 57817
3242 6367
68353 31833
86931 39148
12263 50894
16006 65121
96508 19220
87619 48005
24261 91022
56679 68399
20777 7764
46548 29596
90039 73893
42608 41984
47677 9749
56830 56336
32601 58428
77888 18480
47121 54027
7859 49370
31645 17519
12658 85432
27857 71930
92862 85686
99800 19923
39256 471
41345 7185
76257 2030
60343 37667
36434 23680
20139 84067
38253 66564
16702 79042
28217 90283
87623 86635
76609 9117
50583 19990
24179 72585
39703 99132
61656 69773
48709 53154
56841 48188
19437 15251
44222 64669
33714 28302
5905 26530
83267 45790
85671 64461
1028 19336
10374 42576
19809 63361
68610 20425
66114 69689
74971 14123
22991 17993
91892 75623
85885 1742
98429 44727
35486 21826
27023 90467
25402 56597
47510 92467
91529 56851
17 C48 6
65 80 8
C51 37 8
C40 C79 3
48 C61 9
C37 100 10
68 C91 5
C84 63 7
95 31 8
5 93 7
51 C31 2
32 C76 9
46 38 5
69 63 3
15 45 3
49 48 5
C67 22 6
54 56 1
C51 C84 10
57 C54 2
C37 C9 10
17 C84 7
C73 77 5
C82 C10 8
83 65 5
51 C14 2
60 C95 7
67 C29 7
C8 C24 4
3 55 4
C66 29 10
C17 52 1
C29 C81 5
21 49 10
C86 56 3
73 C74 2
C6 C43 10
8 67 9
C10 C38 9
33 81 9
C58 77 4
14 C35 10
57 C90 2
90 C83 4
55 C62 9
20 89 1
C41 51 3
32 39 8
10 C90 6
34 83 7
C93 37 6
C100 29 3
C89 C10 4
C33 19 1
C34 100 2
62 13 2
68 C19 4
C39 91 6
20 37 5
C41 54 2
63 C56 2
C51 82 3
C4 85 4
60 88 9
C8 C26 6
C54 45 9
23 C84 7
C69 C93 10
27 C7 1
84 C87 7
15 C44 2
C39 C40 10
C31 79 3
31 C10 2
81 C20 6
63 C16 10
13 C9 1
51 C17 3
30 18 3
55 C55 8
C91 37 8
87 62 9
99 C63 3
C61 7 8
C59 53 6
54 17 7
11 35 8
C58 92 5
2 C15 4
71 38 3
C32 C94 9
99 C78 7
C16 C16 6
99 48 9
C91 C71 10
41 C42 8
C1 71 7
60 C25 6
46 5 6
C81 39 10
